suburb,med_price
ABBOTSFORD,1290000
ABERFELDIE,1500000
AINTREE,763000
AIREYS INLET,1725000
AIRPORT WEST,873800
ALBANVALE,600000
ALBERT PARK,2346300
ALBION,823500
ALEXANDRA,670000
ALFREDTON,635000
ALLANSFORD,540000
ALPHINGTON,2195000
ALTONA,1025000
ALTONA EAST,1028500
ALTONA MEADOWS,695000
ALTONA NORTH,920000
ANGLESEA,1885000
APOLLO BAY,995000
ARARAT,370000
ARDEER,710000
ARMADALE,2721000
ARMSTRONG CREEK,672500
ASCOT (GREATER BENDIGO),570000
ASCOT VALE,1435000
ASHBURTON,1835300
ASHWOOD,1615000
ASPENDALE,1390000
ASPENDALE GARDENS,1120000
ATTWOOD,1200000
AVENEL,617000
AVOCA,350000
AVONDALE HEIGHTS,960000
AVONSLEIGH,740000
AXEDALE,537500
BACCHUS MARSH,662500
BADGER CREEK,755000
BAIRNSDALE,455000
BALACLAVA,1512500
BALCOMBE,1900000
BALLAN,685000
BALLARAT CENTRAL,633800
BALLARAT EAST,495000
BALLARAT NORTH,645000
BALNARRING,1265000
BALNARRING BEACH,4500000
BALWYN,2816000
BALWYN NORTH,2345000
BANDIANA,634500
BANNOCKBURN,722000
BARANDUDA,720000
BARNAWARTHA,542000
BARWON HEADS,1505000
BAXTER,655000
BAYSWATER,827500
BAYSWATER NORTH,850000
BEACONSFIELD,930000
BEACONSFIELD UPPER,1320000
BEAUFORT,397500
BEAUMARIS,1976000
BEECHWORTH,665000
BELGRAVE,805300
BELGRAVE HEIGHTS,1105500
BELGRAVE SOUTH,880000
BELL PARK,630500
BELL POST HILL,660000
BELLBRIDGE,960000
BELLFIELD (BANYULE),1120000
BELMONT,686300
BENALLA,510000
BENDIGO,702500
BENTLEIGH,1770000
BENTLEIGH EAST,1440000
BERWICK,842500
BEVERIDGE,630000
BIRCHIP,213500
BIRREGURRA,802500
BITTERN,803000
BLACK HILL,520000
BLACK ROCK,2220000
BLACKBURN,1419000
BLACKBURN NORTH,1200000
BLACKBURN SOUTH,1218800
BLAIRGOWRIE,1595000
BLIND BIGHT,638000
BONBEACH,980000
BONNIE BROOK,647400
BONNIE DOON,690000
BONSHAW,530000
BOOLARRA,400000
BORONIA,795000
BOTANIC RIDGE,917500
BOX HILL,1439000
BOX HILL NORTH,1320000
BOX HILL SOUTH,1437500
BRAYBROOK,741500
BREAKWATER,548800
BRIAGOLONG,385000
BRIAR HILL,935000
BRIGHT,1350000
BRIGHTON,3222500
BRIGHTON EAST,2145500
BROADFORD,510000
BROADMEADOWS,562500
BROOKFIELD,550000
BROOKLYN,660000
BROWN HILL,585000
BRUNSWICK,1260000
BRUNSWICK EAST,1275000
BRUNSWICK WEST,1325000
BRUTHEN,432500
BULLEEN,1400000
BUNDOORA,822500
BUNINYONG,710000
BUNYIP,792500
BURNSIDE,715000
BURNSIDE HEIGHTS,780000
BURWOOD,1265000
BURWOOD EAST,1200000
CAIRNLEA,912500
CALIFORNIA GULLY,460000
CAMBERWELL,2717500
CAMPBELLFIELD,600000
CAMPBELLS CREEK,702500
CAMPERDOWN,385000
CANADIAN,585000
CANTERBURY,3361000
CAPE PATERSON,778000
CAPE SCHANCK,1632500
CAPEL SOUND,754000
CARDIGAN,830000
CARISBROOK,500000
CARLTON,1077000
CARLTON NORTH,1560000
CARNEGIE,1605000
CAROLINE SPRINGS,745500
CARRUM,1050000
CARRUM DOWNS,690000
CASTERTON,350000
CASTLEMAINE,737000
CAULFIELD,1886900
CAULFIELD NORTH,2485000
CAULFIELD SOUTH,1785000
CHADSTONE,1175000
CHARLEMONT,615000
CHARLTON,277500
CHELSEA,1100000
CHELSEA HEIGHTS,845000
CHELTENHAM,1250000
CHELTENHAM EAST,1150000
CHELTENHAM NORTH,1181000
CHILTERN,410000
CHIRNSIDE PARK,885000
CHURCHILL,365800
CLARINDA,936000
CLAYTON,1130500
CLAYTON NORTH,1300000
CLAYTON SOUTH,981500
CLIFTON HILL,1500000
CLIFTON SPRINGS,696500
CLUNES,765000
CLYDE,690000
CLYDE NORTH,702000
COBBLEBANK,635000
COBDEN,455000
COBRAM,400000
COBURG,1177000
COBURG EAST,965000
COBURG NORTH,917500
COCKATOO,670000
COHUNA,255000
COLAC,500000
COLDSTREAM,737500
COLERAINE,250000
COLLINGWOOD,1190000
COOLAROO,575000
COONANS HILL,1135000
COONGULLA,495000
CORINELLA,590000
CORIO,521500
CORONET BAY,697500
CORRYONG,339000
COWES,767500
COWES WEST,850000
CRAIGIEBURN,632000
CRANBOURNE,630000
CRANBOURNE EAST,711500
CRANBOURNE NORTH,700000
CRANBOURNE SOUTH,845000
CRANBOURNE WEST,670000
CREMORNE,1366000
CRESWICK,520000
CRIB POINT,685000
CROYDON,880000
CROYDON HILLS,1125000
CROYDON NORTH,1092500
CROYDON SOUTH,850500
CURLEWIS,680000
DALLAS,497000
DALYSTON,549000
DANDENONG,680000
DANDENONG NORTH,693500
DANYO,210000
DARLEY,732500
DAYLESFORD,870000
DEANSIDE,665000
DEEPDENE,2970000
DEER PARK,612500
DELACOMBE,535000
DELAHEY,675300
DENNINGTON,617500
Derrimut,770000
DERRINALLUM,357500
DIAMOND CREEK,948500
DIGGERS REST,645300
DIMBOOLA,249000
DINGLEY VILLAGE,1071000
DINNER PLAIN,1226500
DONALD,240000
DONCASTER,1455000
